lumpy,x,y,cld,dtr,frs,pet,pre,tmn
1,118.314472,24.487083,72.4,5.8,1.91,1.8,10.0,7.1
0,93.25,31.75,36.5,15.6,31.0,1.0,1.4,-21.9
0,58.75,30.25,41.7,14.8,7.15,1.9,11.7,4.2
0,35.25,53.25,81.1,5.0,30.03,0.1,38.4,-10.0
0,34.75,55.25,86.0,4.9,30.12,0.1,55.3,-10.2
0,112.75,28.75,76.7,4.0,17.13,1.1,40.2,0.3
0,83.75,54.25,59.0,8.7,31.0,0.0,7.6,-26.9
0,117.25,70.25,71.2,6.5,31.0,0.0,15.6,-38.1
0,60.25,50.25,52.7,9.4,31.0,0.2,11.7,-22.6
0,126.25,46.75,27.8,9.8,31.0,0.1,1.2,-26.6
0,73.75,22.25,16.2,17.0,0.0,3.4,0.1,11.7
0,21.75,-10.25,82.5,12.9,0.0,3.2,209.1,16.6
0,100.75,23.75,37.0,11.9,5.43,2.0,38.3,5.0
0,72.25,57.25,51.0,8.0,31.0,0.0,5.2,-25.5
0,100.25,29.75,41.3,15.8,31.0,1.4,1.3,-15.8
0,127.25,59.25,82.3,6.6,31.0,0.0,12.9,-33.9
0,69.75,52.75,50.0,8.8,31.0,0.1,2.8,-25.7
0,79.75,22.25,10.7,14.7,0.0,2.9,1.1,11.0
0,19.75,-22.25,57.5,14.2,0.0,4.8,85.0,18.1
1,20.101869,42.192886,82.0,6.0,26.09,0.7,71.6,-4.8
0,179.75,71.25,66.8,8.1,31.0,0.0,20.4,-28.3
0,51.25,22.75,42.8,7.8,0.0,3.5,3.6,16.5
1,22.52069,42.50594,86.6,6.0,26.29,0.6,28.7,-5.0
0,90.25,23.75,40.4,13.3,0.0,2.2,2.2,11.9
0,123.25,52.75,41.1,15.3,31.0,0.1,0.7,-37.7
1,19.529704,41.118788,71.1,8.3,12.33,0.9,103.8,2.1
0,117.25,56.75,60.5,11.4,31.0,0.0,1.0,-42.5
0,77.75,32.25,60.4,11.3,31.0,1.2,11.6,-16.5
0,85.75,30.75,38.5,15.9,31.0,1.1,8.2,-19.8
0,100.75,23.25,38.6,12.0,3.39,2.1,42.7,6.1
0,171.75,67.25,67.0,9.9,31.0,0.0,15.3,-32.0
0,47.25,53.75,73.8,6.1,31.0,0.2,54.7,-14.8
1,22.189636,42.597297,83.9,6.2,26.19,0.7,28.7,-4.9
0,96.25,79.75,58.8,7.5,31.0,0.0,7.8,-37.8
1,20.422691,40.943668,78.0,7.3,23.68,0.8,93.4,-2.6
0,137.25,66.25,53.8,7.1,31.0,0.0,2.7,-48.5
1,116.8633,24.1046,67.3,7.3,5.64,1.9,10.3,4.9
0,85.75,26.75,29.8,13.2,0.04,1.8,3.2,9.6
0,78.25,38.75,48.8,11.6,30.96,0.5,0.0,-13.2
0,77.25,15.25,13.3,13.5,0.0,4.2,0.4,17.4
0,91.25,29.75,38.3,15.9,30.98,1.5,0.0,-13.5
1,20.30627,41.643075,81.0,6.6,24.49,0.8,79.1,-3.3
0,46.25,60.25,80.9,6.5,31.0,0.0,44.2,-17.0
0,157.25,62.25,75.0,8.9,31.0,0.1,17.0,-34.5
0,91.25,31.25,39.0,14.8,31.0,1.1,1.1,-19.1
0,88.25,35.75,39.2,15.0,31.0,0.7,5.0,-26.6
0,88.75,37.25,38.9,15.1,31.0,0.7,0.6,-26.6
0,107.75,75.75,56.9,6.8,31.0,0.0,9.9,-40.1
0,66.75,59.25,57.6,7.1,31.0,0.0,12.7,-21.8
0,85.75,40.25,39.1,13.1,31.0,0.4,0.2,-16.3
0,96.75,31.75,44.0,15.1,31.0,1.0,1.6,-18.9
0,77.75,38.25,44.4,11.3,30.8,0.5,0.0,-12.2
0,145.25,71.25,62.3,7.6,31.0,0.0,19.3,-39.5
0,101.75,39.75,30.1,13.3,31.0,0.3,0.9,-19.6
0,79.75,17.75,16.3,12.5,0.0,3.7,0.2,17.2
0,69.75,46.25,43.6,10.0,31.0,0.1,8.1,-17.9
0,15.75,-18.25,66.3,13.0,0.0,4.4,104.0,18.8
0,106.25,29.25,82.3,2.9,6.49,0.9,22.8,4.5
0,48.25,47.75,75.9,7.2,30.08,0.3,14.7,-10.1
0,104.75,25.75,68.9,6.5,18.19,1.4,36.5,-0.1
