lumpy,x,y,cld,dtr,frs,pet,pre,tmn
0,113.75,37.75,30.6,10.6,30.97,1.2,0.8,-13.3
0,145.25,68.75,64.5,7.4,31.0,0.0,15.8,-39.5
0,74.75,43.25,45.6,10.4,30.52,0.4,8.2,-11.2
1,19.973252,41.29474,71.1,8.3,12.33,0.9,103.8,2.1
0,91.75,41.75,33.0,12.9,31.0,0.4,0.0,-19.6
0,113.75,36.25,34.7,10.6,30.55,1.5,0.7,-11.3
0,112.25,76.25,62.5,6.3,31.0,0.0,9.9,-39.8
0,58.25,29.25,42.9,14.9,11.55,2.0,13.8,2.4
0,81.75,37.75,48.7,13.5,31.0,0.5,0.1,-15.0
0,106.75,72.75,56.6,6.3,31.0,0.0,31.7,-33.7
0,117.75,43.25,25.1,10.0,31.0,0.7,0.4,-24.1
0,42.75,45.25,76.6,7.4,27.14,0.4,21.2,-5.9
0,104.75,75.25,53.7,6.4,31.0,0.0,14.9,-35.4
0,131.25,53.25,40.9,12.0,31.0,0.0,3.5,-35.9
0,75.25,58.75,57.8,7.8,31.0,0.0,11.6,-26.4
0,116.75,24.25,67.3,7.3,5.64,1.9,10.3,4.9
1,29.451783,29.021996,33.8,13.1,1.66,2.7,3.0,7.3
0,37.75,58.75,89.4,6.4,30.99,0.0,43.9,-13.6
0,30.75,29.75,35.5,12.3,0.92,2.4,0.3,8.0
1,35.38291,32.81113,57.2,8.1,0.15,1.7,114.1,9.2
1,19.583,42.96,78.7,5.8,27.59,0.9,65.2,-6.4
0,119.25,54.25,46.2,14.2,31.0,0.1,0.8,-38.2
0,59.75,49.75,55.8,9.5,31.0,0.2,10.4,-22.0
0,77.25,65.75,94.0,7.0,31.0,0.0,25.7,-25.0
0,96.25,59.75,73.5,7.7,31.0,0.1,15.6,-33.0
0,81.25,51.25,63.7,9.4,31.0,0.0,7.5,-26.5
0,55.25,65.25,76.8,6.9,31.0,0.0,35.6,-20.3
1,19.90351,41.31854,71.1,8.3,12.33,0.9,103.8,2.1
0,73.25,22.25,15.9,16.8,0.0,3.5,0.0,12.1
0,112.25,22.75,70.6,6.2,2.9,1.7,18.5,6.4
0,159.25,66.75,76.8,8.6,31.0,0.1,13.0,-33.9
0,153.75,66.75,88.5,8.4,31.0,0.1,18.2,-37.3
0,107.25,23.75,89.7,4.1,1.11,1.5,16.6,7.8
0,58.25,36.25,52.8,10.6,23.8,1.3,15.2,-2.7
0,20.25,-10.25,83.8,12.4,0.0,2.9,199.3,15.4
0,39.25,61.25,91.0,6.9,31.0,0.0,47.0,-15.8
0,109.25,32.75,64.1,7.4,25.68,1.1,1.0,-4.4
1,49.877967,52.997772,70.8,6.5,31.0,0.1,41.0,-15.3
1,20.035455,41.056754,79.1,7.1,24.03,0.8,80.6,-2.9
0,31.75,66.75,85.7,8.5,31.0,0.0,46.8,-17.5
0,60.75,48.75,58.0,9.4,31.0,0.2,9.4,-21.7
1,62.977607,54.567477,39.2,8.7,31.0,0.0,5.2,-22.2
0,123.25,40.75,15.7,10.1,31.0,0.8,0.3,-20.1
0,108.75,13.25,51.8,5.7,0.0,2.8,42.0,18.3
0,115.75,51.75,31.2,12.3,31.0,0.0,0.4,-33.7
0,94.75,59.75,74.1,7.6,31.0,0.1,16.6,-32.5
0,78.75,30.25,47.9,10.1,13.65,1.6,12.2,1.6
0,51.25,21.25,34.8,8.6,0.0,3.7,0.0,16.7
0,41.75,44.25,73.8,8.6,27.5,0.5,46.8,-6.3
0,112.75,57.75,74.9,8.3,31.0,0.1,5.9,-36.1
1,23.763333,41.718333,80.8,6.4,25.99,0.9,33.9,-4.7
0,150.25,64.75,92.2,7.7,31.0,0.0,22.7,-37.3
0,113.75,61.75,78.0,8.0,31.0,0.1,13.1,-35.2
0,88.75,53.75,57.8,10.8,31.0,0.2,5.9,-32.4
0,54.75,21.25,38.6,9.0,0.0,3.5,0.0,16.7
0,172.75,64.75,62.5,9.5,31.0,0.0,28.1,-26.7
0,18.25,-18.25,66.3,12.9,0.0,4.2,140.0,19.3
0,47.25,21.25,40.1,10.6,0.0,3.6,3.0,14.5
0,46.25,25.75,41.9,11.4,0.01,3.2,14.2,9.8
0,82.75,52.75,62.4,9.0,31.0,0.0,8.0,-27.0
0,129.75,65.75,65.8,7.3,31.0,0.0,3.9,-49.6
0,99.75,41.75,28.2,12.5,31.0,0.1,0.3,-21.7
1,22.394528,42.224025,80.4,6.6,25.78,0.7,28.2,-4.5
0,138.75,57.25,52.2,6.5,31.0,0.2,7.5,-25.7
0,88.25,35.25,39.5,15.1,31.0,0.8,5.6,-25.7
0,83.25,52.25,63.5,9.3,31.0,0.0,7.1,-26.9
0,71.25,72.75,84.9,6.4,31.0,0.0,11.6,-26.5
0,42.25,59.25,86.7,6.3,31.0,0.0,45.8,-15.5
0,47.75,36.25,59.9,10.4,28.84,0.7,42.6,-8.0
0,45.25,29.75,35.0,11.9,1.54,2.8,12.1,7.4
0,113.25,33.25,55.3,8.6,26.48,1.3,1.2,-5.2
0,63.75,67.25,84.8,6.5,31.0,0.0,19.0,-24.2
0,123.25,68.25,62.7,5.7,31.0,0.0,19.0,-37.9
0,71.25,27.25,17.5,17.7,4.09,2.3,0.7,5.7
0,80.25,25.75,28.7,15.4,1.11,2.3,2.0,7.8
1,24.999444,41.392778,74.4,6.9,23.09,0.8,44.3,-2.1
0,45.75,44.75,80.8,5.8,25.78,0.3,15.5,-4.5
0,65.75,55.25,44.9,8.0,31.0,0.0,4.8,-23.8
0,43.75,18.75,43.4,11.4,0.0,3.1,14.0,10.4
0,44.75,31.75,34.0,11.7,3.56,2.1,18.0,6.0
1,22.1903,38.0142,61.2,7.6,20.52,0.9,142.9,-1.0
0,95.75,79.25,58.8,7.7,31.0,0.0,7.9,-38.3
0,48.75,33.75,55.9,11.0,27.14,1.0,62.2,-5.9
0,157.75,53.75,65.1,5.5,31.0,0.2,40.3,-15.9
0,46.75,40.25,69.3,7.8,23.45,0.7,21.4,-2.4
1,20.31242,42.13514,82.0,6.0,26.09,0.7,71.6,-4.8
0,44.25,42.25,74.7,8.9,30.34,0.5,47.1,-10.7
0,95.25,40.75,32.6,13.0,31.0,0.3,0.9,-17.8
0,81.25,34.75,55.5,15.3,31.0,0.6,6.1,-29.1
1,47.00169,44.994984,79.7,5.7,25.25,0.4,16.2,-4.0
1,22.241694,42.157137,80.4,6.6,25.78,0.7,28.2,-4.5
0,52.75,68.25,82.0,8.0,31.0,0.0,26.6,-21.7
0,16.75,-14.75,77.5,12.4,0.0,3.5,176.0,15.4
0,76.25,37.25,50.3,10.1,31.0,0.7,8.9,-19.3
0,156.25,62.25,75.3,8.7,31.0,0.0,18.5,-34.4
0,104.75,71.25,54.4,7.0,31.0,0.0,26.8,-33.2
0,17.75,-21.75,58.8,13.8,0.0,4.7,87.0,17.6
0,106.75,23.75,89.2,4.3,0.52,1.6,16.1,8.5
0,142.75,64.25,57.9,8.2,31.0,0.0,5.6,-48.2
1,19.31,-17.81,67.5,12.4,0.0,3.9,152.0,18.6
0,82.75,20.75,19.5,14.3,0.0,3.0,1.4,12.3
1,80.90709,43.99365,43.6,13.3,31.0,0.4,11.1,-19.0
0,136.75,52.25,49.2,11.6,31.0,0.0,11.6,-28.9
0,64.25,46.25,56.4,9.0,31.0,0.3,6.2,-17.1
0,37.75,67.75,91.7,7.0,31.0,0.0,51.8,-17.8
0,97.25,37.25,35.3,13.4,31.0,0.9,0.7,-21.8
0,75.75,15.75,13.6,14.2,0.0,4.1,0.0,16.4
0,46.75,31.25,39.1,11.6,2.17,2.0,30.8,6.9
0,126.75,65.75,66.6,6.3,31.0,0.0,11.3,-42.1
0,101.75,59.75,70.8,10.2,31.0,0.0,9.5,-36.6
0,41.25,43.25,67.5,8.7,30.65,0.7,78.5,-11.6
0,77.75,49.25,38.4,10.6,31.0,0.3,5.0,-26.8
0,106.25,22.75,87.8,3.7,0.52,1.5,15.3,8.5
0,108.25,14.25,50.2,7.0,0.0,2.5,40.8,14.7
0,117.75,67.75,73.1,7.2,31.0,0.0,12.5,-37.2
0,17.25,-14.25,78.8,11.9,0.0,3.3,197.0,15.4
0,54.75,33.25,48.3,12.8,22.01,1.4,10.8,-1.6
0,51.75,54.75,68.7,6.5,31.0,0.1,45.0,-17.0
1,21.819223,42.401757,82.8,6.5,25.15,0.6,29.1,-3.9
0,131.75,58.75,68.9,7.1,31.0,0.0,11.1,-38.4
1,24.71991,41.57813,77.6,6.7,27.14,0.9,45.4,-5.9
0,35.25,22.75,26.9,11.1,0.0,3.5,2.0,12.1
0,25.75,31.25,36.4,8.9,0.01,2.8,25.5,9.8
0,88.25,40.75,36.8,13.9,31.0,0.5,0.1,-18.0
0,75.25,14.75,12.8,13.4,0.0,4.2,0.0,16.7
0,75.25,58.25,57.3,7.9,31.0,0.0,9.6,-26.7
1,20.063662,42.331061,82.0,6.0,26.09,0.7,71.6,-4.8
0,41.25,59.25,87.1,6.4,31.0,0.0,42.2,-15.4
0,106.25,9.75,64.2,6.8,0.0,3.5,56.0,23.1
0,34.75,53.75,82.6,4.8,29.72,0.1,43.7,-9.4
0,54.25,71.75,75.6,8.8,31.0,0.0,14.0,-26.9
0,-8.75,10.75,47.7,18.2,0.0,4.2,0.1,16.0
0,115.75,67.75,79.8,7.5,31.0,0.0,14.2,-36.4
0,79.25,53.25,56.1,8.7,31.0,0.1,8.5,-26.3
0,119.25,56.25,58.5,12.4,31.0,0.0,1.4,-40.0
0,40.25,48.75,81.5,5.1,29.18,0.2,32.3,-8.5
0,132.75,67.75,53.5,6.4,31.0,0.0,6.1,-46.2
0,105.25,71.25,55.6,7.0,31.0,0.0,26.8,-33.7
0,134.25,68.25,50.9,6.5,31.0,0.0,6.4,-47.1
0,83.25,48.25,55.6,9.8,31.0,0.2,9.8,-24.7
0,159.25,53.25,66.6,4.4,30.86,0.0,62.8,-12.5
0,97.75,56.75,61.9,9.6,31.0,0.0,9.2,-31.1
0,57.75,37.75,54.1,9.8,28.25,1.7,20.1,-7.2
0,160.75,58.75,78.4,7.4,31.0,0.0,14.9,-24.9
0,55.25,34.25,49.8,11.7,15.79,1.3,12.9,0.8
0,114.75,60.25,76.3,7.7,31.0,0.0,12.3,-35.5
0,80.25,51.75,57.5,9.3,31.0,0.1,8.4,-25.9
0,51.25,32.75,44.7,11.4,26.39,1.2,28.1,-5.1
0,97.75,19.75,32.3,12.9,0.0,2.5,10.5,13.2
0,14.75,-6.75,86.3,9.3,0.0,2.8,138.2,19.1
0,101.75,35.25,40.5,18.4,31.0,1.0,1.9,-22.0
0,87.75,24.25,38.3,14.3,0.0,2.3,2.4,11.2
1,81.31971,43.727804,38.8,13.2,31.0,0.4,10.5,-20.4
0,20.25,-18.75,65.0,12.1,0.0,4.0,158.4,19.4
0,110.25,22.25,76.0,5.9,2.17,1.6,14.2,6.9
0,46.75,53.75,74.0,5.9,31.0,0.2,56.9,-14.5
0,94.25,57.25,67.4,8.0,31.0,0.0,8.7,-28.2
0,104.75,63.75,72.3,8.5,31.0,0.0,10.8,-36.5
1,22.083077,42.368592,80.4,6.6,25.78,0.7,28.2,-4.5
0,87.75,51.25,49.6,11.8,31.0,0.2,7.5,-36.2
0,127.75,54.75,44.7,10.6,31.0,0.0,4.2,-33.6
0,22.25,-16.75,67.5,11.4,0.0,3.7,172.1,18.7
0,89.75,41.25,35.3,13.1,31.0,0.6,0.4,-19.8
0,30.75,67.75,84.5,8.3,31.0,0.1,55.1,-17.5
0,71.75,47.75,33.5,10.2,31.0,0.2,6.5,-21.3
0,105.25,9.75,55.3,7.5,0.0,3.7,57.0,22.9
0,73.75,19.25,20.6,16.8,0.0,3.3,0.0,11.7
0,97.75,64.25,73.7,6.4,31.0,0.0,15.8,-38.1
0,101.75,28.75,43.5,16.4,30.34,1.8,4.0,-10.7
0,74.25,25.75,22.6,15.6,1.78,2.9,0.1,7.2
0,139.25,74.75,55.2,6.6,31.0,0.0,9.0,-45.7
0,120.25,68.75,66.0,6.6,31.0,0.0,14.8,-38.2
0,104.75,31.75,72.7,6.3,16.33,0.9,7.6,0.6
0,101.25,24.25,44.3,12.1,9.77,1.9,31.5,3.1
0,118.75,43.75,22.0,10.0,31.0,0.6,0.5,-22.3
0,39.75,49.75,80.0,5.0,29.72,0.2,35.0,-9.4
0,55.25,43.75,65.4,8.9,29.93,0.7,9.0,-9.8
1,90.380931,22.437184,41.6,12.8,0.0,2.3,1.7,12.7
0,45.25,35.75,55.8,9.6,20.27,0.9,49.1,-0.9
1,35.38291,32.81113,57.2,8.1,0.15,1.7,114.1,9.2
0,46.25,60.75,81.1,6.8,31.0,0.0,42.3,-17.1
0,130.25,67.25,60.9,6.6,31.0,0.0,7.5,-46.1
0,162.25,58.75,76.9,6.7,31.0,0.0,22.3,-21.1
1,18.37,-21.07,60.0,13.8,0.0,4.6,92.0,17.9
0,83.25,22.25,22.5,14.3,0.0,2.6,2.5,10.9
1,19.756191,42.97417,78.7,5.8,27.59,0.9,65.2,-6.4
0,100.25,22.25,41.6,13.3,3.22,2.1,38.0,6.2
0,47.25,61.75,79.6,7.3,31.0,0.0,40.6,-18.2
0,58.75,27.75,43.1,13.2,0.45,2.3,10.4,8.6
0,38.25,25.25,36.4,11.4,0.0,3.9,2.7,12.0
0,108.75,23.25,85.0,4.0,2.6,1.4,13.8,6.6
0,95.75,29.25,38.6,12.8,27.32,1.4,5.3,-6.1
0,58.75,60.25,72.5,7.9,31.0,0.0,39.2,-22.3
0,89.75,46.75,30.0,14.0,31.0,0.1,6.6,-33.0
0,86.75,53.25,57.3,10.0,31.0,0.0,5.7,-28.8
0,85.25,67.25,87.1,5.7,31.0,0.0,35.6,-27.1
0,113.75,63.75,82.1,8.1,31.0,0.1,11.5,-35.1
0,-179.75,67.75,82.8,8.5,31.0,0.0,37.9,-25.6
1,21.5442,40.79,69.2,7.1,25.25,0.6,38.2,-4.0
0,58.25,30.25,43.5,14.9,7.15,1.9,12.0,4.2
1,48.47855,53.52162,72.5,6.1,31.0,0.1,48.1,-14.9
0,71.25,25.25,12.5,18.2,1.78,3.1,0.1,7.2
0,34.75,30.25,35.7,11.4,2.04,2.4,9.2,7.0
0,53.25,42.25,71.0,7.6,25.78,0.9,8.0,-4.5
0,75.25,14.25,14.1,12.8,0.0,4.2,0.1,17.1
0,152.25,68.75,86.9,8.5,31.0,0.0,18.4,-37.3
0,106.75,40.75,26.7,11.9,31.0,0.4,0.0,-20.5
0,31.75,63.75,91.2,7.2,31.0,0.0,49.9,-14.9
0,142.25,59.25,53.8,6.2,31.0,0.2,22.1,-26.4
0,101.75,23.75,51.9,9.7,2.17,1.9,32.9,6.9
0,109.25,41.75,24.0,12.0,31.0,0.5,0.6,-23.4
0,93.75,51.25,44.6,11.7,31.0,0.0,16.3,-40.2
0,69.25,44.25,59.5,10.0,30.84,0.3,10.1,-12.4
0,82.25,61.25,77.2,6.9,31.0,0.0,17.1,-26.2
0,56.75,34.25,49.4,11.7,16.86,1.4,13.6,0.4
0,156.75,70.25,79.6,9.0,31.0,0.0,14.3,-36.8
1,22.729975,41.171674,77.1,6.9,22.97,0.6,27.7,-2.0
0,110.75,29.25,77.0,5.2,23.09,1.2,21.9,-2.1
0,39.25,40.75,66.6,8.2,25.99,0.7,53.1,-4.7
0,89.25,23.75,44.2,14.2,0.0,2.2,3.3,11.4
0,81.25,49.75,63.9,10.3,31.0,0.2,6.4,-26.7
0,14.25,-16.25,72.5,11.4,0.0,3.8,94.0,15.9
0,96.75,80.75,57.5,7.4,31.0,0.0,6.8,-38.9
0,162.75,66.25,70.5,8.6,31.0,0.0,9.5,-31.2
0,68.25,54.25,46.3,8.4,31.0,0.0,3.6,-24.9
1,23.729722,41.657778,80.8,6.4,25.99,0.9,33.9,-4.7
0,25.75,29.25,26.3,12.3,0.39,2.8,1.5,8.7
0,111.25,24.25,80.9,4.5,9.77,1.4,23.5,3.1
0,43.25,47.75,80.3,5.5,28.98,0.2,19.7,-8.2
0,83.75,27.25,22.8,13.2,0.0,2.0,4.9,9.9
0,53.75,29.75,41.3,14.1,23.33,1.9,58.8,-2.3
0,54.25,35.25,50.4,10.1,18.19,1.0,21.2,-0.1
0,84.75,22.75,31.4,14.2,0.0,2.4,1.6,10.0
0,91.75,73.75,66.2,7.3,31.0,0.0,18.7,-31.5
0,87.25,42.75,37.4,11.9,31.0,0.5,2.3,-27.4
0,112.75,27.75,77.4,3.7,18.45,1.1,52.8,-0.2
0,157.25,63.75,77.6,8.9,31.0,0.1,15.7,-35.4
0,88.75,53.25,54.6,11.4,31.0,0.2,6.6,-33.6
0,128.75,46.75,31.7,12.1,31.0,0.2,2.0,-31.0
0,44.75,22.75,42.4,12.1,0.0,3.5,8.0,11.2
0,132.75,71.25,54.2,6.0,31.0,0.0,17.8,-45.8
1,20.159658,42.414187,82.0,6.0,26.09,0.7,71.6,-4.8
0,42.25,12.25,41.3,10.7,0.0,3.5,8.0,18.0
0,142.75,66.25,59.5,7.6,31.0,0.0,6.0,-45.8
0,81.75,46.75,45.8,10.7,31.0,0.2,19.1,-23.1
0,95.25,24.25,26.7,11.5,0.0,2.1,16.6,11.3
0,133.25,48.75,45.4,8.2,31.0,0.0,6.2,-26.5
0,66.75,43.25,56.3,9.6,29.72,0.6,13.0,-9.4
1,35.38291,32.81113,57.2,8.1,0.15,1.7,114.1,9.2
0,132.75,58.25,63.3,7.5,31.0,0.0,10.9,-38.1
0,41.75,48.75,80.4,5.2,29.31,0.2,29.1,-8.7
0,117.25,62.75,66.5,8.0,31.0,0.0,15.0,-34.4
0,44.25,54.25,77.1,5.7,30.97,0.1,53.8,-13.3
0,41.75,27.25,42.3,12.6,2.31,3.4,6.1,6.8
0,128.75,44.25,35.1,11.5,31.0,0.3,0.6,-26.7
1,47.5061,40.4898,68.5,7.6,12.86,0.8,19.8,1.9
0,77.75,70.75,79.9,7.0,31.0,0.0,33.7,-25.5
0,81.25,39.25,47.0,13.3,31.0,0.5,0.1,-16.2
0,98.75,79.25,56.3,7.7,31.0,0.0,8.1,-39.4
0,54.75,49.75,57.6,8.4,31.0,0.3,12.5,-17.5
0,79.75,16.25,18.8,11.5,0.0,3.8,0.4,18.3
0,65.75,51.75,34.6,8.6,31.0,0.1,5.9,-24.4
0,36.75,68.75,91.6,6.9,31.0,0.0,44.9,-16.8
0,118.25,50.25,31.5,11.8,31.0,0.1,1.3,-33.9
0,25.25,24.75,19.2,15.5,5.64,2.9,0.2,4.9
0,47.75,80.25,77.5,8.6,31.0,0.0,38.9,-29.7
0,115.25,32.25,56.7,8.3,25.36,1.4,5.7,-4.1
0,102.25,33.75,49.4,19.3,31.0,1.2,5.0,-18.3
0,41.25,35.75,50.8,10.2,9.52,1.3,34.4,3.2
1,46.1,43.34,80.5,5.9,25.15,0.4,23.1,-3.9
0,116.25,53.75,40.9,13.0,31.0,0.1,0.6,-36.9
0,87.25,70.75,75.7,7.3,31.0,0.0,31.4,-28.6
0,78.25,60.25,68.2,7.8,31.0,0.0,12.8,-26.9
0,80.25,20.75,14.0,15.0,0.0,3.2,0.4,12.9
1,23.124167,41.566111,79.6,6.4,26.87,0.8,32.0,-5.6
0,134.25,48.25,45.8,7.3,31.0,0.1,8.6,-24.1
0,115.25,45.25,30.6,10.5,31.0,0.2,1.0,-31.0
0,90.75,29.75,37.9,16.7,31.0,1.5,0.0,-16.3
0,114.75,72.25,69.4,6.1,31.0,0.0,21.9,-38.6
0,101.25,26.25,30.6,13.9,20.77,2.0,17.9,-1.1
0,78.75,13.25,22.7,11.8,0.0,4.0,0.7,16.4
1,26.1381,40.8319,71.0,6.8,14.99,0.8,46.5,1.1
0,44.75,46.25,81.0,5.9,28.17,0.2,13.4,-7.1
0,100.25,64.75,71.1,6.6,31.0,0.0,14.5,-37.4
0,90.75,42.75,27.2,12.6,31.0,0.2,0.9,-20.1
0,124.75,64.25,62.4,5.9,31.0,0.0,11.9,-37.2
0,77.75,17.25,12.8,13.0,0.0,3.9,0.0,16.2
1,44.8105,43.261,78.7,7.0,26.39,0.4,26.8,-5.1
0,91.25,37.75,36.6,14.2,31.0,0.9,0.0,-21.5
1,20.445879,40.949295,78.0,7.3,23.68,0.8,93.4,-2.6
0,76.75,22.75,7.9,16.0,0.0,3.1,0.1,9.9
0,85.75,58.25,59.9,7.3,31.0,0.0,12.5,-26.8
0,116.25,61.25,70.6,7.9,31.0,0.0,13.0,-35.4
0,175.75,69.25,65.8,9.1,31.0,0.0,21.6,-30.5
0,29.75,22.25,23.6,16.3,0.92,3.7,0.0,8.0
1,21.884658,42.705709,85.2,6.0,25.04,0.6,29.9,-3.8
0,43.25,53.75,79.5,5.9,30.98,0.1,55.5,-13.4
0,98.75,58.75,69.0,8.6,31.0,0.0,10.2,-32.2
0,55.75,34.25,49.7,11.6,16.06,1.3,14.2,0.7
0,154.25,64.75,83.6,8.3,31.0,0.0,22.3,-36.6
0,141.75,65.75,55.4,8.1,31.0,0.0,3.1,-50.1
0,142.75,54.25,55.2,5.5,31.0,0.2,49.6,-18.7
0,76.25,17.25,14.0,14.3,0.0,4.3,0.8,16.6
0,76.75,28.25,45.4,14.3,2.9,2.2,1.9,6.4
0,119.75,66.75,67.4,6.8,31.0,0.0,14.0,-36.7
0,113.25,28.25,76.2,4.8,18.45,1.2,47.7,-0.2
0,160.75,55.25,77.8,6.8,31.0,0.1,52.7,-22.9
0,84.75,29.25,44.8,16.9,31.0,1.1,7.0,-20.5
1,19.583587,42.960077,78.7,5.8,27.59,0.9,65.2,-6.4
0,119.25,49.75,29.4,11.3,31.0,0.0,1.5,-32.9
0,88.75,30.25,38.1,15.4,31.0,1.1,2.7,-19.7
0,106.75,58.75,71.4,9.5,31.0,0.0,8.2,-37.6
0,77.25,53.25,45.2,8.9,31.0,0.1,6.1,-26.8
0,165.25,60.25,63.9,7.1,31.0,0.0,33.8,-19.0
0,36.75,58.25,89.1,6.1,30.9,0.1,48.1,-12.7
0,89.75,64.75,84.5,6.4,31.0,0.0,26.5,-31.1
1,24.7936,40.9414,71.0,6.4,11.55,0.9,50.4,2.4
0,23.75,38.25,66.9,6.9,6.71,1.0,84.6,4.4
0,113.75,24.75,77.2,5.4,7.61,1.6,27.0,4.0
0,57.75,27.75,44.1,13.2,1.54,2.2,17.5,7.4
0,52.25,55.75,66.5,6.3,31.0,0.1,46.0,-16.9
0,139.25,57.75,52.0,6.6,31.0,0.2,9.8,-27.7
0,100.25,26.25,30.3,12.2,13.12,2.0,26.1,1.8
1,26.13,40.78,71.0,6.8,14.99,0.8,46.5,1.1
0,116.25,56.25,62.0,10.5,31.0,0.0,1.0,-37.9
0,175.25,62.25,59.9,8.3,31.0,0.0,35.2,-20.7
0,59.75,35.75,53.1,12.0,25.57,1.2,16.5,-4.3
1,22.201435,41.752612,81.1,6.7,23.8,0.6,25.3,-2.7
0,95.75,75.75,59.7,7.1,31.0,0.0,11.6,-33.7
0,83.75,71.75,73.9,7.3,31.0,0.0,49.9,-26.7
0,70.75,69.75,89.1,6.4,31.0,0.0,15.1,-25.6
0,21.25,-11.25,81.3,12.4,0.0,3.2,214.0,16.7
0,116.75,62.25,68.7,7.9,31.0,0.0,15.3,-34.6
0,83.75,40.25,42.4,12.8,31.0,0.4,0.0,-15.0
0,157.25,53.75,63.8,6.0,31.0,0.4,34.1,-17.8
0,100.75,78.25,55.0,7.4,31.0,0.0,11.0,-37.0
0,47.25,20.75,41.3,10.6,0.0,3.7,3.0,15.0
0,40.25,54.75,83.9,5.9,30.84,0.1,41.4,-12.4
0,119.75,70.75,66.3,6.2,31.0,0.0,15.8,-39.1
0,77.25,56.75,54.6,7.8,31.0,0.1,7.3,-26.2
0,91.25,74.75,65.3,7.2,31.0,0.0,16.1,-32.1
0,113.75,38.25,27.9,11.0,31.0,1.1,0.3,-14.0
0,106.25,62.25,74.1,8.7,31.0,0.0,9.8,-36.9
0,106.25,23.25,85.9,3.4,2.75,1.5,15.1,6.5
0,44.25,51.25,78.4,6.1,30.9,0.2,48.0,-12.7
0,118.25,55.25,52.1,13.2,31.0,0.0,0.9,-39.1
0,150.75,66.75,93.8,7.9,31.0,0.0,17.5,-36.9
0,117.75,51.75,28.0,12.1,31.0,0.1,1.0,-36.2
1,20.455143,41.816134,81.0,6.6,24.49,0.8,79.1,-3.3
0,66.75,45.25,55.7,9.2,31.0,0.3,9.2,-14.2
0,113.25,41.25,22.8,11.0,31.0,0.7,0.3,-21.6
0,156.75,52.75,64.9,5.2,30.7,0.3,39.3,-11.8
0,168.75,68.75,71.2,9.6,31.0,0.0,9.4,-32.8
0,119.75,66.25,65.2,6.8,31.0,0.0,13.6,-36.2
0,141.75,62.75,53.9,8.1,31.0,0.0,3.9,-46.4
1,46.4533,43.0554,80.5,5.9,25.15,0.4,23.1,-3.9
0,144.25,64.25,61.4,8.4,31.0,0.0,6.3,-47.6
0,75.25,16.75,14.6,14.7,0.0,4.1,0.0,16.4
0,133.75,56.25,54.3,9.1,31.0,0.0,8.6,-36.8
0,127.25,46.75,31.2,9.8,31.0,0.1,3.6,-27.1
0,115.25,73.25,68.2,5.9,31.0,0.0,21.0,-39.4
1,20.097286,42.320067,82.0,6.0,26.09,0.7,71.6,-4.8
0,100.75,22.25,46.2,11.7,0.23,2.1,42.5,9.0
0,99.25,32.75,41.0,17.6,31.0,1.0,2.7,-21.9
0,129.75,43.25,41.3,10.5,31.0,0.4,0.4,-24.0
0,114.25,57.25,76.1,8.2,31.0,0.1,3.2,-36.4
1,23.1886,41.2533,77.6,6.7,22.01,0.7,29.3,-1.6
0,72.75,68.75,88.1,6.7,31.0,0.0,23.5,-25.1
0,87.25,69.25,80.9,7.0,31.0,0.0,35.7,-28.8
0,29.25,27.75,31.1,15.3,4.09,2.8,0.0,5.7
0,126.75,64.25,68.5,6.0,31.0,0.0,10.8,-39.2
0,96.25,36.25,39.4,13.6,31.0,0.8,1.6,-18.2
0,132.75,59.25,67.0,6.7,31.0,0.0,8.4,-39.0
0,112.75,31.75,61.5,8.0,24.15,1.2,5.5,-3.0
0,155.25,65.75,83.2,8.7,31.0,0.0,17.7,-38.2
0,73.25,51.25,32.9,9.2,31.0,0.1,6.4,-25.1
0,121.75,56.75,68.8,10.4,31.0,0.1,5.8,-35.7
0,57.75,61.25,74.9,7.4,31.0,0.0,47.4,-21.0
1,20.357437,41.725774,81.0,6.6,24.49,0.8,79.1,-3.3
0,116.75,51.25,30.8,12.4,31.0,0.1,1.0,-35.5
0,101.75,42.25,21.7,13.0,31.0,0.0,0.6,-24.5
0,116.25,56.75,66.2,9.9,31.0,0.0,1.6,-38.7
0,86.25,54.25,57.9,9.1,31.0,0.0,5.1,-28.2
0,21.75,-17.25,67.5,11.5,0.0,3.7,176.2,18.8
0,47.75,36.75,57.6,10.0,29.55,0.7,37.5,-9.1
0,39.75,66.75,94.2,7.2,31.0,0.0,51.2,-18.5
0,93.25,53.75,56.7,11.0,31.0,0.0,11.1,-31.8
0,40.75,52.25,79.7,5.7,30.62,0.2,40.8,-11.5
0,69.25,68.25,94.6,5.6,31.0,0.0,16.8,-24.4
0,84.25,52.75,62.4,9.3,31.0,0.0,5.8,-27.1
0,45.75,25.25,42.2,12.0,0.45,3.2,11.0,8.6
0,76.25,16.75,14.5,14.0,0.0,4.2,0.2,16.8
0,89.25,52.25,50.9,12.0,31.0,0.2,5.3,-35.1
0,92.25,37.25,37.5,14.3,31.0,0.8,0.7,-20.4
0,31.75,63.25,90.0,6.8,31.0,0.0,56.9,-14.5
0,68.25,41.25,61.3,9.2,24.93,0.8,17.2,-3.7
0,117.75,57.25,63.8,11.0,31.0,0.0,1.8,-41.8
0,52.25,20.25,33.2,9.2,0.0,3.8,0.0,16.9
0,85.75,34.75,45.3,15.4,31.0,0.7,12.0,-27.3
